"YEAR","JURISDICTION","END_DATE","START_DATE","FINES","ARRESTS","CHARGES"
2008,"ACT","2008-12-31","2008-01-01",2060,0,0
2008,"NSW","2008-12-31","2008-01-01",631290,0,0
2008,"NT","2008-12-31","2008-01-01",24536,0,0
2008,"QLD","2008-12-31","2008-01-01",531385,0,0
2008,"SA","2008-12-31","2008-01-01",130911,0,0
2008,"TAS","2008-12-31","2008-01-01",66742,0,0
2008,"VIC","2008-12-31","2008-01-01",1163775,0,0
2008,"WA","2008-12-31","2008-01-01",244779,0,0
2009,"ACT","2009-12-31","2009-01-01",1890,0,0
2009,"NSW","2009-12-31","2009-01-01",554783,0,0
2009,"NT","2009-12-31","2009-01-01",20999,0,0
2009,"QLD","2009-12-31","2009-01-01",509222,0,0
2009,"SA","2009-12-31","2009-01-01",121843,0,0
2009,"TAS","2009-12-31","2009-01-01",73433,0,0
2009,"VIC","2009-12-31","2009-01-01",1189691,0,0
2009,"WA","2009-12-31","2009-01-01",269662,0,0
2010,"ACT","2010-12-31","2010-01-01",61112,0,0
2010,"NSW","2010-12-31","2010-01-01",441850,0,0
2010,"NT","2010-12-31","2010-01-01",27773,0,0
2010,"QLD","2010-12-31","2010-01-01",473635,0,0
2010,"SA","2010-12-31","2010-01-01",105474,0,0
2010,"TAS","2010-12-31","2010-01-01",41111,0,0
2010,"VIC","2010-12-31","2010-01-01",1227188,0,0
2010,"WA","2010-12-31","2010-01-01",312049,0,0
2011,"ACT","2011-12-31","2011-01-01",59003,0,0
2011,"NSW","2011-12-31","2011-01-01",436363,0,0
2011,"NT","2011-12-31","2011-01-01",25362,0,0
2011,"QLD","2011-12-31","2011-01-01",619103,0,0
2011,"SA","2011-12-31","2011-01-01",75261,0,0
2011,"TAS","2011-12-31","2011-01-01",27668,0,0
2011,"VIC","2011-12-31","2011-01-01",1204185,0,0
2011,"WA","2011-12-31","2011-01-01",569037,0,0
2012,"ACT","2012-12-31","2012-01-01",55923,0,0
2012,"NSW","2012-12-31","2012-01-01",475486,0,0
2012,"NT","2012-12-31","2012-01-01",28452,0,0
2012,"QLD","2012-12-31","2012-01-01",682227,0,0
2012,"SA","2012-12-31","2012-01-01",66396,0,0
2012,"TAS","2012-12-31","2012-01-01",9551,0,0
2012,"VIC","2012-12-31","2012-01-01",1246534,0,0
2012,"WA","2012-12-31","2012-01-01",606568,0,0
2013,"ACT","2013-12-31","2013-01-01",53304,0,0
2013,"NSW","2013-12-31","2013-01-01",460418,0,0
2013,"NT","2013-12-31","2013-01-01",25594,0,0
2013,"QLD","2013-12-31","2013-01-01",790903,0,0
2013,"SA","2013-12-31","2013-01-01",86951,0,0
2013,"TAS","2013-12-31","2013-01-01",10431,0,0
2013,"VIC","2013-12-31","2013-01-01",1068438,0,0
2013,"WA","2013-12-31","2013-01-01",558054,0,0
2014,"ACT","2014-12-31","2014-01-01",46235,0,0
2014,"NSW","2014-12-31","2014-01-01",503417,0,0
2014,"NT","2014-12-31","2014-01-01",23388,0,0
2014,"QLD","2014-12-31","2014-01-01",1029158,0,0
2014,"SA","2014-12-31","2014-01-01",112448,0,0
2014,"TAS","2014-12-31","2014-01-01",12506,0,0
2014,"VIC","2014-12-31","2014-01-01",1349372,0,0
2014,"WA","2014-12-31","2014-01-01",725895,0,0
2015,"ACT","2015-12-31","2015-01-01",51513,0,0
2015,"NSW","2015-12-31","2015-01-01",524560,0,0
2015,"NT","2015-12-31","2015-01-01",25420,0,0
2015,"QLD","2015-12-31","2015-01-01",1099670,0,0
2015,"SA","2015-12-31","2015-01-01",97728,0,0
2015,"TAS","2015-12-31","2015-01-01",18493,0,0
2015,"VIC","2015-12-31","2015-01-01",1339799,0,0
2015,"WA","2015-12-31","2015-01-01",768942,0,0
2016,"ACT","2016-12-31","2016-01-01",56870,0,0
2016,"NSW","2016-12-31","2016-01-01",533594,0,0
2016,"NT","2016-12-31","2016-01-01",22774,0,0
2016,"QLD","2016-12-31","2016-01-01",676518,0,0
2016,"SA","2016-12-31","2016-01-01",194009,0,0
2016,"TAS","2016-12-31","2016-01-01",19168,0,0
2016,"VIC","2016-12-31","2016-01-01",1294567,0,0
2016,"WA","2016-12-31","2016-01-01",582880,0,0
2017,"ACT","2017-12-31","2017-01-01",54212,0,0
2017,"NSW","2017-12-31","2017-01-01",795927,0,0
2017,"NT","2017-12-31","2017-01-01",23102,0,0
2017,"QLD","2017-12-31","2017-01-01",748760,0,0
2017,"SA","2017-12-31","2017-01-01",174056,0,0
2017,"TAS","2017-12-31","2017-01-01",15833,0,0
2017,"VIC","2017-12-31","2017-01-01",1249473,0,0
2017,"WA","2017-12-31","2017-01-01",778210,0,0
2018,"ACT","2018-12-31","2018-01-01",68045,0,0
2018,"NSW","2018-12-31","2018-01-01",740595,0,0
2018,"NT","2018-12-31","2018-01-01",40871,0,0
2018,"QLD","2018-12-31","2018-01-01",1043040,0,0
2018,"SA","2018-12-31","2018-01-01",188111,0,0
2018,"TAS","2018-12-31","2018-01-01",11223,0,0
2018,"VIC","2018-12-31","2018-01-01",1646618,0,0
2018,"WA","2018-12-31","2018-01-01",712848,0,0
2019,"ACT","2019-12-31","2019-01-01",60602,0,0
2019,"NSW","2019-12-31","2019-01-01",703611,0,0
2019,"NT","2019-12-31","2019-01-01",43781,0,0
2019,"QLD","2019-12-31","2019-01-01",1062369,0,0
2019,"SA","2019-12-31","2019-01-01",214867,0,0
2019,"TAS","2019-12-31","2019-01-01",9093,0,0
2019,"VIC","2019-12-31","2019-01-01",1053208,0,0
2019,"WA","2019-12-31","2019-01-01",699315,0,0
2020,"ACT","2020-12-31","2020-01-01",58567,0,0
2020,"NSW","2020-12-31","2020-01-01",1078761,0,0
2020,"NT","2020-12-31","2020-01-01",43412,0,0
2020,"QLD","2020-12-31","2020-01-01",921789,0,0
2020,"SA","2020-12-31","2020-01-01",185497,0,0
2020,"TAS","2020-12-31","2020-01-01",44049,0,0
2020,"VIC","2020-12-31","2020-01-01",966180,0,0
2020,"WA","2020-12-31","2020-01-01",706279,0,0
2021,"ACT","2021-12-31","2021-01-01",114411,0,0
2021,"NSW","2021-12-31","2021-01-01",1636304,0,0
2021,"NT","2021-12-31","2021-01-01",40080,0,0
2021,"QLD","2021-12-31","2021-01-01",1007870,0,0
2021,"SA","2021-12-31","2021-01-01",210176,0,0
2021,"TAS","2021-12-31","2021-01-01",42685,0,0
2021,"VIC","2021-12-31","2021-01-01",1253576,0,0
2021,"WA","2021-12-31","2021-01-01",816309,0,0
2022,"ACT","2022-12-31","2022-01-01",415,0,0
2022,"NSW","2022-12-31","2022-01-01",1435015,0,0
2022,"NT","2022-12-31","2022-01-01",35110,0,0
2022,"QLD","2022-12-31","2022-01-01",1026965,0,0
2022,"SA","2022-12-31","2022-01-01",193825,0,0
2022,"TAS","2022-12-31","2022-01-01",45600,0,0
2022,"VIC","2022-12-31","2022-01-01",1405151,0,0
2022,"WA","2022-12-31","2022-01-01",852073,0,0
2023,"ACT","2023-12-31","2023-01-01",72584,215,708
2023,"NSW","2023-12-31","2023-01-01",1115630,0,32683
2023,"NT","2023-12-31","2023-01-01",44666,611,2289
2023,"QLD","2023-12-31","2023-01-01",1006149,0,0
2023,"SA","2023-12-31","2023-01-01",219314,1611,4761
2023,"TAS","2023-12-31","2023-01-01",69772,0,2015
2023,"VIC","2023-12-31","2023-01-01",1391859,0,0
2023,"WA","2023-12-31","2023-01-01",814913,2136,17393
2024,"ACT","2024-12-31","2024-01-01",96329,232,824
2024,"NSW","2024-12-31","2024-01-01",1157994,0,32348
2024,"NT","2024-12-31","2024-01-01",49714,768,3705
2024,"QLD","2024-12-31","2024-01-01",934882,0,0
2024,"SA","2024-12-31","2024-01-01",198326,1436,4761
2024,"TAS","2024-12-31","2024-01-01",82166,19,2201
2024,"VIC","2024-12-31","2024-01-01",888839,0,0
2024,"WA","2024-12-31","2024-01-01",480474,2156,19044
